SEXE,EDAT,DATA,ESDEVENIMENT,PAUTA,RECOMPTE
Dona,80 o més,02/11/2021,Cas,No iniciada,2
Dona,10 a 19,29/10/2021,Cas,No iniciada,13
Dona,60 a 69,24/02/2021,Cas,No iniciada,64
Dona,50 a 59,26/07/2021,Cas,Parcial,14
Home,60 a 69,15/11/2021,Defunció,No iniciada,1
Dona,40 a 49,18/06/2021,Cas,Parcial,3
Dona,20 a 29,09/11/2021,Cas,Parcial,2
Dona,60 a 69,06/07/2021,Cas,Completa,28
Home,30 a 39,25/11/2021,Cas,Parcial,1
Home,0 a 9,09/03/2021,Cas,No iniciada,62
Home,30 a 39,19/06/2021,Cas,No iniciada,35
Dona,40 a 49,17/12/2021,Cas,Parcial,7
Home,80 o més,13/11/2021,Hospitalització,Completa,3
Dona,0 a 9,31/07/2021,Cas,No iniciada,74
Dona,10 a 19,04/12/2021,Cas,No iniciada,68
Dona,20 a 29,17/11/2021,Cas,No iniciada,12
Dona,50 a 59,03/03/2021,Cas,No iniciada,90
Dona,50 a 59,08/04/2021,Cas,No iniciada,132
Dona,40 a 49,27/12/2021,Hospitalització,No iniciada,2
Home,70 a 79,21/04/2021,Cas,No iniciada,39
Dona,40 a 49,06/09/2021,Cas,Completa,40
Dona,20 a 29,03/05/2021,Cas,Completa,1
Dona,70 a 79,02/08/2021,Cas,Completa,88
Dona,50 a 59,17/09/2021,Cas,Completa,18
Home,30 a 39,20/07/2021,Cas,Parcial,123
Home,10 a 19,04/04/2021,Cas,No iniciada,51
Home,0 a 9,02/07/2021,Cas,No iniciada,100
Dona,10 a 19,08/12/2021,Cas,No iniciada,73
Home,0 a 9,07/04/2021,Cas,No iniciada,89
No classificat,No classificat,10/01/2021,Cas,No iniciada,34
Dona,60 a 69,05/06/2021,Cas,No iniciada,6
Home,60 a 69,20/04/2021,Cas,No iniciada,60
Dona,20 a 29,03/01/2021,Cas,No iniciada,122
Dona,50 a 59,21/05/2021,Cas,No iniciada,48
Home,20 a 29,08/05/2021,Cas,No iniciada,40
Dona,40 a 49,22/03/2021,Cas,Parcial,9
Home,10 a 19,13/05/2021,Cas,No iniciada,74
Dona,40 a 49,21/04/2021,Cas,No iniciada,195
Home,10 a 19,22/06/2021,Cas,No iniciada,104
Dona,60 a 69,27/05/2021,Cas,Completa,3
Home,30 a 39,11/07/2021,Cas,Completa,15
Home,70 a 79,14/11/2021,Hospitalització,Completa,2
No classificat,No classificat,13/07/2021,Cas,No iniciada,251
Dona,20 a 29,11/08/2021,Cas,Completa,32
Dona,0 a 9,11/01/2021,Cas,No iniciada,180
Dona,50 a 59,06/01/2021,Cas,No iniciada,107
Dona,60 a 69,16/09/2021,Cas,Completa,15
Home,40 a 49,07/06/2021,Cas,Parcial,4
Home,70 a 79,28/01/2021,Cas,No iniciada,92
Dona,10 a 19,17/04/2021,Cas,No iniciada,58
Dona,50 a 59,22/06/2021,Cas,Parcial,10
Dona,50 a 59,03/11/2021,Cas,Completa,26
Dona,70 a 79,22/11/2021,Cas,No iniciada,3
Home,0 a 9,20/03/2021,Cas,No iniciada,27
Home,10 a 19,20/02/2021,Cas,No iniciada,57
Dona,30 a 39,27/08/2021,Cas,Completa,31
Home,60 a 69,25/03/2021,Cas,No iniciada,76
Home,50 a 59,11/10/2021,Cas,No iniciada,3
Dona,70 a 79,23/08/2021,Cas,Completa,40
Dona,30 a 39,07/07/2021,Cas,Completa,53
Dona,10 a 19,23/12/2021,Cas,Parcial,22
Home,0 a 9,11/10/2021,Hospitalització,No iniciada,1
Home,0 a 9,23/02/2021,Cas,No iniciada,86
Home,40 a 49,20/03/2021,Cas,No iniciada,55
Dona,10 a 19,04/10/2021,Cas,Completa,3
Dona,30 a 39,21/01/2021,Cas,No iniciada,289
Home,30 a 39,23/05/2021,Cas,No iniciada,22
Home,60 a 69,16/11/2021,Hospitalització,No iniciada,1
Home,40 a 49,04/06/2021,Cas,No iniciada,55
Dona,50 a 59,28/01/2021,Cas,No iniciada,245
Dona,10 a 19,31/03/2021,Cas,No iniciada,110
Dona,20 a 29,16/01/2021,Cas,No iniciada,112
Home,10 a 19,29/03/2021,Cas,No iniciada,146
Home,70 a 79,15/06/2021,Cas,No iniciada,1
Dona,70 a 79,22/10/2021,Defunció,No iniciada,1
Dona,60 a 69,20/07/2021,Cas,Completa,119
Dona,50 a 59,03/06/2021,Cas,No iniciada,15
Home,30 a 39,04/11/2021,Hospitalització,No iniciada,1
Home,20 a 29,23/07/2021,Cas,No iniciada,441
Dona,20 a 29,28/10/2021,Cas,No iniciada,7
Home,20 a 29,08/03/2021,Cas,Parcial,1
Dona,30 a 39,08/12/2021,Cas,Completa,149
Home,50 a 59,03/11/2021,Crítics,No iniciada,1
Home,80 o més,13/11/2021,Crítics,Completa,3
Dona,80 o més,11/10/2021,Hospitalització,Completa,5
Home,0 a 9,05/08/2021,Cas,No iniciada,117
Dona,60 a 69,13/11/2021,Hospitalització,Completa,3
Home,80 o més,18/10/2021,Cas,Completa,8
Home,20 a 29,28/01/2021,Cas,No iniciada,133
Dona,40 a 49,05/03/2021,Cas,No iniciada,113
Dona,40 a 49,07/07/2021,Cas,No iniciada,216
Dona,10 a 19,06/09/2021,Cas,Completa,6
Home,40 a 49,24/11/2021,Hospitalització,No iniciada,1
Dona,60 a 69,31/01/2021,Cas,No iniciada,42
Dona,50 a 59,03/12/2021,Cas,No iniciada,30
Dona,10 a 19,13/07/2021,Cas,No iniciada,820
Home,50 a 59,13/08/2021,Cas,Completa,49
Dona,70 a 79,03/04/2021,Cas,No iniciada,40
Dona,60 a 69,03/11/2021,Cas,No iniciada,5
Home,50 a 59,09/12/2021,Crítics,No iniciada,1
Dona,70 a 79,23/03/2021,Cas,No iniciada,53
Home,60 a 69,03/07/2021,Cas,Parcial,43
Home,80 o més,03/12/2021,Hospitalització,Completa,8
Home,70 a 79,12/10/2021,Crítics,Completa,1
Home,0 a 9,13/04/2021,Cas,No iniciada,78
Home,50 a 59,25/11/2021,Cas,Completa,102
Dona,40 a 49,03/10/2021,Cas,Completa,10
Home,30 a 39,06/11/2021,Cas,No iniciada,5
Dona,60 a 69,10/12/2021,Cas,Parcial,5
Home,0 a 9,26/03/2021,Cas,No iniciada,81
Home,10 a 19,27/11/2021,Cas,Completa,11
Dona,20 a 29,15/07/2021,Cas,Parcial,16
Home,40 a 49,04/01/2021,Cas,No iniciada,444
Dona,70 a 79,05/08/2021,Cas,Completa,61
Home,0 a 9,25/08/2021,Cas,No iniciada,45
Home,10 a 19,09/04/2021,Cas,No iniciada,160
Home,10 a 19,13/12/2021,Cas,Completa,125
Dona,40 a 49,29/01/2021,Cas,No iniciada,260
Home,20 a 29,06/11/2021,Cas,Completa,3
Home,60 a 69,04/06/2021,Cas,Completa,1
Home,70 a 79,01/02/2021,Cas,No iniciada,98
Home,30 a 39,28/06/2021,Cas,Completa,11
Dona,80 o més,16/12/2021,Cas,Completa,73
Home,20 a 29,23/07/2021,Cas,Completa,24
Dona,70 a 79,22/04/2021,Cas,Completa,1
Home,60 a 69,30/07/2021,Cas,Parcial,17
Dona,40 a 49,05/07/2021,Cas,Parcial,191
Dona,70 a 79,02/03/2021,Cas,No iniciada,37
Home,0 a 9,17/07/2021,Cas,No iniciada,128
Dona,60 a 69,10/05/2021,Cas,No iniciada,29
Home,0 a 9,16/10/2021,Cas,No iniciada,13
Home,40 a 49,20/12/2021,Hospitalització,Completa,1
Home,30 a 39,27/10/2021,Cas,No iniciada,8
Home,40 a 49,13/02/2021,Cas,No iniciada,77
Home,10 a 19,21/09/2021,Cas,Parcial,1
No classificat,No classificat,28/02/2021,Cas,No iniciada,10
Dona,0 a 9,21/07/2021,Cas,No iniciada,269
Dona,60 a 69,23/01/2021,Cas,No iniciada,65
Home,60 a 69,03/06/2021,Cas,Parcial,14
Home,40 a 49,15/11/2021,Cas,Parcial,3
Home,50 a 59,15/08/2021,Cas,No iniciada,13
Dona,80 o més,02/12/2021,Hospitalització,No iniciada,3
Dona,0 a 9,09/11/2021,Cas,No iniciada,43
Dona,70 a 79,14/11/2021,Hospitalització,No iniciada,1
Home,30 a 39,27/03/2021,Cas,No iniciada,50
Dona,10 a 19,17/02/2021,Cas,No iniciada,154
Home,20 a 29,18/05/2021,Cas,No iniciada,56
Home,20 a 29,20/10/2021,Cas,Completa,3
Home,30 a 39,01/05/2021,Cas,No iniciada,44
Dona,70 a 79,11/03/2021,Cas,No iniciada,30
Home,10 a 19,10/02/2021,Cas,No iniciada,136
Dona,70 a 79,06/08/2021,Cas,Completa,50
Home,30 a 39,30/08/2021,Cas,No iniciada,45
Home,60 a 69,22/04/2021,Cas,No iniciada,47
Home,50 a 59,06/12/2021,Cas,No iniciada,15
Dona,60 a 69,03/12/2021,Cas,Completa,145
Home,70 a 79,14/11/2021,Cas,No iniciada,1
Home,60 a 69,17/11/2021,Crítics,Parcial,1
Dona,70 a 79,04/09/2021,Cas,Completa,11
Dona,60 a 69,01/07/2021,Cas,Completa,11
Dona,40 a 49,13/03/2021,Cas,No iniciada,39
Home,60 a 69,14/05/2021,Cas,No iniciada,12
Dona,20 a 29,07/04/2021,Cas,No iniciada,130
Dona,20 a 29,24/09/2021,Cas,Completa,6
Dona,20 a 29,15/01/2021,Cas,No iniciada,251
Dona,40 a 49,13/06/2021,Cas,No iniciada,17
Dona,0 a 9,23/11/2021,Cas,No iniciada,152
Dona,80 o més,19/07/2021,Cas,Completa,135
Dona,30 a 39,09/09/2021,Cas,Completa,22
Home,60 a 69,17/10/2021,Cas,Completa,3
Home,0 a 9,09/01/2021,Cas,No iniciada,66
Home,50 a 59,15/10/2021,Cas,Completa,12
Home,70 a 79,03/04/2021,Cas,No iniciada,27
Dona,20 a 29,16/11/2021,Cas,Parcial,2
Home,50 a 59,22/10/2021,Crítics,Completa,1
Home,50 a 59,03/04/2021,Cas,No iniciada,85
Home,10 a 19,14/11/2021,Cas,No iniciada,23
Dona,40 a 49,29/08/2021,Cas,Completa,28
Dona,70 a 79,20/09/2021,Cas,No iniciada,3
Dona,40 a 49,10/11/2021,Cas,Completa,63
Home,10 a 19,11/12/2021,Cas,No iniciada,85
Home,70 a 79,28/08/2021,Cas,Completa,13
Home,70 a 79,25/06/2021,Cas,Completa,6
Home,40 a 49,14/11/2021,Hospitalització,Completa,1
Dona,30 a 39,12/03/2021,Cas,No iniciada,83
Home,40 a 49,03/12/2021,Crítics,No iniciada,3
Dona,10 a 19,26/05/2021,Cas,No iniciada,63
Home,50 a 59,06/08/2021,Cas,Completa,50
Home,60 a 69,26/03/2021,Cas,No iniciada,81
Dona,40 a 49,30/11/2021,Cas,No iniciada,53
Dona,80 o més,16/11/2021,Cas,Completa,20
Home,10 a 19,14/09/2021,Cas,No iniciada,18
Dona,60 a 69,17/07/2021,Cas,Completa,63
Dona,10 a 19,17/07/2021,Cas,Parcial,8
Dona,60 a 69,03/11/2021,Crítics,Completa,1
Home,70 a 79,05/07/2021,Cas,Completa,28
Dona,60 a 69,13/04/2021,Cas,Parcial,15
Dona,50 a 59,24/07/2021,Cas,Completa,87
Home,0 a 9,05/04/2021,Cas,No iniciada,30
Dona,60 a 69,14/11/2021,Cas,Parcial,1
Dona,40 a 49,15/08/2021,Cas,Completa,45
Dona,70 a 79,18/02/2021,Cas,No iniciada,48
Home,40 a 49,25/10/2021,Cas,Completa,36
Home,60 a 69,26/02/2021,Cas,No iniciada,63
Dona,30 a 39,02/04/2021,Cas,Parcial,3
Home,0 a 9,13/06/2021,Cas,No iniciada,9
Home,60 a 69,16/04/2021,Cas,No iniciada,56
Home,30 a 39,20/10/2021,Cas,Completa,5
Home,10 a 19,31/01/2021,Cas,No iniciada,52
Home,0 a 9,22/08/2021,Cas,No iniciada,20
Dona,70 a 79,19/02/2021,Cas,No iniciada,49
Home,80 o més,02/12/2021,Defunció,No iniciada,1
Home,20 a 29,16/07/2021,Cas,Parcial,19
Dona,40 a 49,25/05/2021,Cas,No iniciada,87
Dona,0 a 9,17/05/2021,Cas,No iniciada,38
Dona,70 a 79,12/10/2021,Hospitalització,Completa,1
Home,20 a 29,01/02/2021,Cas,No iniciada,138
Home,10 a 19,06/06/2021,Cas,No iniciada,14
Home,60 a 69,15/12/2021,Defunció,No iniciada,1
No classificat,No classificat,24/08/2021,Cas,No iniciada,50
Dona,80 o més,11/02/2021,Defunció,No iniciada,20
Home,50 a 59,05/07/2021,Cas,Parcial,48
Dona,20 a 29,12/11/2021,Cas,No iniciada,6
Home,70 a 79,04/05/2021,Cas,Parcial,15
Dona,60 a 69,20/05/2021,Cas,No iniciada,13
Dona,70 a 79,12/02/2021,Cas,No iniciada,59
Dona,60 a 69,12/10/2021,Hospitalització,No iniciada,1
Dona,10 a 19,16/06/2021,Cas,No iniciada,64
Dona,10 a 19,29/06/2021,Cas,Parcial,8
Dona,20 a 29,16/12/2021,Cas,No iniciada,87
Dona,50 a 59,08/12/2021,Hospitalització,No iniciada,3
Home,20 a 29,09/11/2021,Cas,Completa,23
Dona,60 a 69,16/08/2021,Cas,Completa,64
Dona,50 a 59,28/08/2021,Cas,Parcial,1
Home,60 a 69,10/11/2021,Cas,Completa,26
Dona,30 a 39,26/12/2021,Crítics,No iniciada,2
Dona,10 a 19,07/06/2021,Cas,No iniciada,53
Home,40 a 49,26/06/2021,Cas,No iniciada,36
Home,60 a 69,02/11/2021,Cas,No iniciada,2
Home,30 a 39,20/03/2021,Cas,No iniciada,39
Dona,70 a 79,19/07/2021,Cas,Completa,111
Home,20 a 29,24/11/2021,Cas,Completa,42
Home,10 a 19,21/01/2021,Cas,No iniciada,260
Home,60 a 69,02/11/2021,Hospitalització,Completa,2
Dona,0 a 9,28/06/2021,Cas,No iniciada,49
Dona,60 a 69,29/01/2021,Cas,No iniciada,137
Home,60 a 69,11/10/2021,Hospitalització,Completa,3
Dona,60 a 69,20/06/2021,Cas,No iniciada,2
Dona,60 a 69,10/08/2021,Cas,Completa,60
Dona,30 a 39,16/12/2021,Crítics,No iniciada,1
Dona,70 a 79,12/11/2021,Cas,No iniciada,4
Home,60 a 69,02/06/2021,Cas,Parcial,11
Home,70 a 79,19/04/2021,Cas,No iniciada,40
Home,30 a 39,31/10/2021,Cas,No iniciada,4
Home,70 a 79,06/04/2021,Cas,No iniciada,99
Dona,20 a 29,25/08/2021,Cas,Parcial,7
Home,70 a 79,27/12/2021,Crítics,Completa,1
Dona,60 a 69,12/06/2021,Cas,No iniciada,4
Dona,30 a 39,14/07/2021,Cas,Parcial,142
Dona,80 o més,21/10/2021,Hospitalització,Completa,4
Home,60 a 69,09/12/2021,Crítics,No iniciada,1
Dona,70 a 79,06/06/2021,Cas,No iniciada,1
Dona,80 o més,16/11/2021,Hospitalització,Completa,8
Dona,70 a 79,24/08/2021,Cas,Completa,32
Dona,70 a 79,10/04/2021,Cas,No iniciada,39
Dona,60 a 69,02/05/2021,Cas,Parcial,6
Home,0 a 9,29/10/2021,Cas,No iniciada,27
Dona,20 a 29,25/10/2021,Cas,Completa,13
Home,10 a 19,26/08/2021,Cas,Parcial,9
Dona,60 a 69,02/11/2021,Hospitalització,Completa,1
Dona,70 a 79,16/01/2021,Cas,No iniciada,61
Home,10 a 19,11/04/2021,Cas,No iniciada,31
Dona,20 a 29,23/08/2021,Cas,Completa,28
Dona,30 a 39,28/07/2021,Cas,Completa,46
Dona,30 a 39,07/07/2021,Cas,Parcial,44
Dona,0 a 9,29/03/2021,Cas,No iniciada,73
Dona,60 a 69,20/10/2021,Cas,Completa,25
Dona,80 o més,02/10/2021,Cas,Parcial,1
No classificat,No classificat,06/10/2021,Cas,No iniciada,8
Home,0 a 9,08/10/2021,Cas,No iniciada,23
Home,0 a 9,02/03/2021,Cas,No iniciada,53
Dona,20 a 29,15/08/2021,Cas,No iniciada,36
Dona,40 a 49,30/07/2021,Cas,Completa,119
Home,60 a 69,08/07/2021,Cas,Completa,40
Dona,60 a 69,09/04/2021,Cas,Parcial,6
Dona,60 a 69,03/07/2021,Cas,Parcial,37
Dona,30 a 39,20/12/2021,Hospitalització,Parcial,1
Dona,30 a 39,14/11/2021,Hospitalització,No iniciada,1
Home,40 a 49,30/06/2021,Cas,Parcial,55
Dona,70 a 79,20/04/2021,Cas,No iniciada,56
Home,20 a 29,03/08/2021,Cas,Parcial,22
Home,10 a 19,23/10/2021,Cas,No iniciada,5
Home,20 a 29,02/07/2021,Cas,Completa,29
Home,20 a 29,14/03/2021,Cas,No iniciada,29
Home,20 a 29,11/09/2021,Cas,No iniciada,12
